ReactionID,ReactionType,CoreDetail,CoreGeneric,Ligand,ReagentRaw,ReagentRole,Solvent,Temperature_C,Time_h,Yield_%,ReactantSMILES,ProductSMILES,Reference,CondKey,CondSig,FamSig,RawCAS
RXN000001,Buchwald,[],"[""Pd""]","[""none""]","[""Cs2CO3"", ""98327-87-8""]","[""BASE"", ""UNK""]","[""Dioxane""]",,,100.0,,,"ACS Medicinal Chemistry Letters (2024), 15(7), 1151-1158",Pd/none/Cs2CO3+98327-87-8/Dioxane,32FB5CF2,276035B2,52522-40-4 + 534-17-8 + 98327-87-8 + 123-91-1
RXN000002,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,,,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000003,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,,,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000004,Buchwald,[],"[""Pd""]","[""none""]","[""NH4Cl""]","[""BASE""]","[""THF"", ""H2O""]",,,100.0,,,"Journal of Fluorine Chemistry (2024), 273110234",Pd/none/NH4Cl/THF+H2O,6670DF31,6670DF31,6163-58-2 + 52522-40-4 + 12125-02-9 + 109-99-9 + 7732-18-5
RXN000005,Buchwald,[],"[""Pd""]","[""none""]","[""NH4Cl""]","[""BASE""]","[""THF"", ""H2O""]",,,100.0,,,"Journal of Fluorine Chemistry (2024), 273110234",Pd/none/NH4Cl/THF+H2O,6670DF31,6670DF31,6163-58-2 + 52522-40-4 + 12125-02-9 + 109-99-9 + 7732-18-5
RXN000006,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,,,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000007,Buchwald,[],"[""Pd""]","[""none""]","[""NH4Cl""]","[""BASE""]","[""THF"", ""H2O""]",,,100.0,,,"Journal of Fluorine Chemistry (2024), 273110234",Pd/none/NH4Cl/THF+H2O,6670DF31,6670DF31,6163-58-2 + 52522-40-4 + 12125-02-9 + 109-99-9 + 7732-18-5
RXN000008,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,,,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000009,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""Xantphos""]","[""Cs2CO3""]","[""BASE""]","[""Dioxane""]",,,100.0,,,"ACS Medicinal Chemistry Letters (2023), 14(12), 1760-1766",Pd/Xantphos/Cs2CO3/Dioxane,6EFCEADE,6EFCEADE,51364-51-3 + 161265-03-8 + 534-17-8 + 123-91-1
RXN000010,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,,,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000011,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,,,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000012,Buchwald,[],"[""Pd""]","[""none""]","[""18027-10-6""]","[""UNK""]","[""THF""]",,,100.0,,,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",Pd/none/18027-10-6/THF,15880887,3F80C91F,2489525-81-5 + 18027-10-6 + 109-99-9
RXN000013,Buchwald,[],"[""Pd""]","[""none""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,100.0,,,"Bioorganic & Medicinal Chemistry Letters (2024), 111129891",Pd/none/NaOtBu/Tol,F22A19A8,F22A19A8,52522-40-4 + 657408-07-6 + 865-48-5 + 108-88-3
RXN000014,Buchwald,"[""Pd2(dba)3""]","[""Pd""]","[""RuPhos""]","[""NaOtBu""]","[""BASE""]","[""Tol""]",,,100.0,,,"RSC Advances (2024), 14(53), 39645-39652",Pd/RuPhos/NaOtBu/Tol,B5968013,B5968013,51364-51-3 + 787618-22-8 + 865-48-5 + 108-88-3
RXN000015,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,,,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000016,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,,,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000017,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""SPhos""]","[""K2CO3""]","[""BASE""]","[""Tol""]",,,99.0,,,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157",Pd/SPhos/K2CO3/Tol,AC8E02DF,AC8E02DF,3375-31-3 + 406681-13-8 + 584-08-7 + 108-88-3
RXN000018,Buchwald,"[""Pd(OAc)2""]","[""Pd""]","[""XPhos""]","[""NaOtBu"", ""NH4Cl""]","[""BASE"", ""BASE""]","[""Tol"", ""H2O""]",,,99.0,,,"Chemical Science (2024), 15(30), 12026-12035",Pd/XPhos/NaOtBu+NH4Cl/Tol+H2O,2D5BFD2E,2D5BFD2E,3375-31-3 + 564483-18-7 + 865-48-5 + 12125-02-9 + 108-88-3 + 7732-18-5
